.i 6
.o 1
.ilb x1 x2 x3 x4 x5 x6
.ob F
0 0 0 0 0 0 0
0 0 0 0 0 1 0
0 0 0 0 1 0 0
0 0 0 0 1 1 1
0 0 0 1 0 0 0
0 0 0 1 0 1 1
0 0 0 1 1 0 1
0 0 0 1 1 1 1
0 0 1 0 0 0 0
0 0 1 0 0 1 1
0 0 1 0 1 0 1
0 0 1 0 1 1 1
0 0 1 1 0 0 1
0 0 1 1 0 1 1
0 0 1 1 1 0 1
0 0 1 1 1 1 1
0 1 0 0 0 0 0
0 1 0 0 0 1 1
0 1 0 0 1 0 1
0 1 0 0 1 1 1
0 1 0 1 0 0 1
0 1 0 1 0 1 1
0 1 0 1 1 0 1
0 1 0 1 1 1 1
0 1 1 0 0 0 1
0 1 1 0 0 1 1
0 1 1 0 1 0 1
0 1 1 0 1 1 1
0 1 1 1 0 0 1
0 1 1 1 0 1 1
0 1 1 1 1 0 1
0 1 1 1 1 1 0
1 0 0 0 0 0 0
1 0 0 0 0 1 1
1 0 0 0 1 0 1
1 0 0 0 1 1 1
1 0 0 1 0 0 1
1 0 0 1 0 1 1
1 0 0 1 1 0 1
1 0 0 1 1 1 1
1 0 1 0 0 0 1
1 0 1 0 0 1 1
1 0 1 0 1 0 1
1 0 1 0 1 1 1
1 0 1 1 0 0 1
1 0 1 1 0 1 1
1 0 1 1 1 0 1
1 0 1 1 1 1 0
1 1 0 0 0 0 1
1 1 0 0 0 1 1
1 1 0 0 1 0 1
1 1 0 0 1 1 1
1 1 0 1 0 0 1
1 1 0 1 0 1 1
1 1 0 1 1 0 1
1 1 0 1 1 1 0
1 1 1 0 0 0 1
1 1 1 0 0 1 1
1 1 1 0 1 0 1
1 1 1 0 1 1 0
1 1 1 1 0 0 1
1 1 1 1 0 1 0
1 1 1 1 1 0 0
1 1 1 1 1 1 0





